,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,CLEAN_TP9,CLEAN_AF7,CLEAN_AF8,CLEAN_TP10
47:46.7,18.82456335,-9.75016379,-2.016037018,8.958427172,-1.791407776,-1.079698613,0.738366221,0.007459085
47:46.7,16.40698093,-6.526720566,-0.807245809,29.50787772,-1.605903994,-0.826690051,0.575743875,-0.001799349
47:46.7,20.43628496,-4.512068552,-0.001385003,24.67271289,-1.408846095,-0.556763035,0.40228487,-0.011704147
47:46.7,18.82456335,-2.90034694,-3.62775863,12.5848008,-1.284958568,-0.335822281,0.261965889,-0.021010652
47:46.7,9.154233678,-10.15309419,-5.642410644,30.31373853,-1.247430586,-0.176345679,0.162986527,-0.029391786
47:46.7,16.80991133,-7.735511775,4.027919026,22.25513047,-1.24374351,-0.029208911,0.073039351,-0.038116185
47:46.7,-4.142469618,-0.885694925,6.042571041,-20.05256184,-1.299029897,0.086105831,0.005128236,-0.046818704
47:46.7,-24.28898976,-4.512068552,-0.404315406,-9.17344096,-1.375536707,0.191563352,-0.05582588,-0.055609104
47:46.7,-2.530748007,-5.317929358,2.013267011,-5.949997736,-1.469574751,0.291530137,-0.112651227,-0.064631534
47:46.7,13.18353771,-4.512068552,4.833779832,-7.158788945,-1.622535239,0.358092956,-0.146477469,-0.073535378
47:46.7,34.53884906,-7.735511775,6.848431847,23.46392168,-1.827132047,0.396139124,-0.160610337,-0.082380776
47:46.7,21.24214577,-12.97360701,4.430849429,35.95476417,-2.028072507,0.441722724,-0.179504901,-0.091561943
47:46.8,-5.351260827,-13.37653742,1.207406206,30.71666893,-2.226960021,0.493706879,-0.202396253,-0.101061956
47:46.8,1.901486426,-11.7648158,4.430849429,18.62875684,-2.446453336,0.537708918,-0.219502088,-0.110742837
47:46.8,-5.351260827,-13.37653742,1.207406206,30.71666893,-2.673941449,0.581946488,-0.236396718,-0.120694167
47:46.8,-5.351260827,-13.37653742,1.207406206,30.71666893,-2.954851331,0.596358696,-0.232720125,-0.130565639
47:46.8,-5.351260827,-13.37653742,1.207406206,30.71666893,-3.293101247,0.578448101,-0.20677441,-0.140332771
47:46.8,-5.351260827,-13.37653742,1.207406206,30.71666893,-3.656561237,0.549402663,-0.172914966,-0.150238901
47:46.8,6.736651261,-11.7648158,6.042571041,6.137914352,-4.056331686,0.501917772,-0.126191687,-0.16020089
47:46.8,-5.351260827,-13.37653742,1.207406206,30.71666893,-4.435133889,0.477511617,-0.094482036,-0.170877667
47:46.8,5.930790455,-10.15309419,8.057223055,-13.20274499,-4.784563201,0.482124994,-0.081784237,-0.182356827
47:46.8,-1.321956798,-6.929650969,2.819127817,1.302749516,-5.140268793,0.490532143,-0.071122779,-0.194265187
47:46.8,3.110277634,-6.929650969,-4.433619436,13.3906616,-5.485557097,0.514844386,-0.070629152,-0.206795454
47:46.8,-3.739539216,-6.123790163,2.013267011,8.152566366,-5.847083312,0.535404214,-0.067124905,-0.219620759
47:46.8,-19.05089453,-7.332581372,2.416197414,6.137914352,-6.227691575,0.550287251,-0.059309508,-0.232716629
47:46.8,-4.142469618,-4.109138149,6.445501444,12.1818704,-6.599324964,0.580058369,-0.060977322,-0.246419526
47:46.8,2.304416828,-3.303277343,9.266014264,12.1818704,-6.967432795,0.620775369,-0.069480876,-0.260667225
47:46.8,5.930790455,-5.72085976,4.430849429,4.123262337,-7.386520495,0.634038227,-0.058968546,-0.274899288
47:46.8,2.707347231,-4.914998955,4.833779832,1.302749516,-7.857560569,0.61933077,-0.029082186,-0.289115871
47:46.8,-0.113165589,-7.735511775,2.819127817,11.37600959,-8.357882278,0.59263434,0.009419854,-0.303550645
47:46.8,7.139581664,-8.944302984,2.013267011,18.22582644,-8.901259016,0.544337943,0.063013714,-0.318067554
47:46.8,12.3776769,-9.75016379,-0.404315406,12.1818704,-9.448717158,0.502249531,0.113000628,-0.333088391
47:46.8,-9.380564857,-12.57067661,-3.224828227,-3.532415319,-9.997780768,0.468212737,0.158145686,-0.348644579
47:46.8,-11.79814727,-14.58532863,-2.418967421,5.332053546,-10.57936844,0.420419587,0.213128835,-0.364416688
47:46.8,-5.351260827,-12.57067661,-0.404315406,12.5848008,-11.18494287,0.365041409,0.273805292,-0.380501913
47:46.8,-12.60400808,-7.735511775,2.013267011,-16.02325781,-11.65079306,0.325476493,0.318629376,-0.393058241
47:46.8,-11.79814727,-12.16774621,-0.807245809,-22.47014426,-11.96376495,0.301615509,0.347083826,-0.401657412
47:46.8,-15.8274513,-14.98825903,-5.239480241,-1.920693707,-12.19452197,0.286840839,0.366343843,-0.40816703
47:46.8,-6.962982439,-12.97360701,-2.821897824,5.734983949,-12.29648321,0.287261577,0.370613673,-0.41146096
47:46.8,-8.574704051,-11.3618854,3.22205822,6.943775157,-12.37107722,0.284148066,0.375825149,-0.413665158
47:46.8,10.36302489,-10.5560246,4.027919026,12.5848008,-12.42141021,0.277193823,0.382303189,-0.414860784
47:46.9,34.53884906,-10.5560246,4.833779832,20.64340886,-12.354429,0.281168771,0.37690403,-0.412952405
47:46.9,-21.46847694,-11.3618854,8.057223055,-0.308972095,-12.18865892,0.292441341,0.362666103,-0.408315652
47:46.9,-41.21206669,-14.98825903,4.430849429,-4.741206528,-12.03060718,0.302062235,0.34977869,-0.403827069
47:46.9,-8.977634454,-9.75016379,4.833779832,-0.308972095,-11.87582189,0.311171431,0.337348533,-0.399412449
47:46.9,-41.21206669,-14.98825903,4.430849429,-4.741206528,-11.6831584,0.321827816,0.322292673,-0.393876523
47:46.9,-41.21206669,-14.98825903,4.430849429,-4.741206528,-11.4765951,0.332214044,0.306784581,-0.387878765
47:46.9,-41.21206669,-14.98825903,4.430849429,-4.741206528,-11.16550752,0.351944246,0.280934405,-0.379091749
47:46.9,-41.21206669,-14.98825903,4.430849429,-4.741206528,-10.74248766,0.381601966,0.244057186,-0.367313063
47:46.9,0.692695217,-6.526720566,10.07187507,-1.517763304,-10.2706235,0.415123611,0.202653742,-0.354200753
47:46.9,-41.21206669,-14.98825903,4.430849429,-4.741206528,-9.727845258,0.45483329,0.154326105,-0.339186987
47:46.9,2.707347231,-5.72085976,8.863083861,14.59945281,-9.237257492,0.476870334,0.11909938,-0.324784242
47:46.9,-9.380564857,-9.347233387,6.445501444,2.511540725,-8.816314676,0.478428822,0.099460642,-0.311383439
47:46.9,-13.40986889,-12.16774621,5.236710235,7.34670556,-8.389788399,0.472568772,0.084100852,-0.297357804
47:46.9,4.721999246,-5.72085976,4.833779832,9.361357575,-7.993434752,0.452442535,0.078785862,-0.283442069
47:46.9,-6.560052036,-6.526720566,-0.807245809,-0.711902498,-7.568880139,0.43055899,0.073291209,-0.268516664
47:46.9,-0.919026395,-8.541372581,-2.418967421,2.108610322,-7.110192584,0.407837591,0.066792487,-0.252446683
47:46.9,-9.380564857,-5.317929358,6.445501444,-10.38223217,-6.678122185,0.371933747,0.069519418,-0.23643775
47:46.9,-25.90071138,-6.123790163,10.47480547,-2.32362411,-6.260796084,0.325297898,0.079449637,-0.220256516
47:46.9,-0.516095992,-6.123790163,9.266014264,23.86685208,-5.743707189,0.287245768,0.079713067,-0.201392977
47:46.9,7.945442469,-6.526720566,4.833779832,28.70201692,-5.125079466,0.257739852,0.070253749,-0.179787944
47:46.9,-4.142469618,-3.303277343,3.22205822,0.899819113,-4.452318006,0.228984392,0.057933234,-0.156492608
47:46.9,3.91613844,-6.123790163,3.22205822,-15.217397,-3.696597002,0.205690899,0.038596818,-0.13086603
47:46.9,6.333720858,-6.929650969,3.22205822,-3.935345722,-2.940405083,0.17319308,0.024856014,-0.104671197
47:46.9,-12.20107768,-1.691555731,9.266014264,6.540844754,-2.189019208,0.130478172,0.017563086,-0.078016409
47:46.9,-10.99228647,-5.72085976,11.68359668,5.734983949,-1.377342593,0.088671439,0.007039381,-0.049483417
47:46.9,-17.43917291,-5.72085976,9.668944667,-1.920693707,-0.523515845,0.044439791,-0.003875885,-0.019453457
47:46.9,-13.81279929,-2.094486134,10.87773588,-8.367580154,0.154420348,0.009143845,-0.012435099,0.004400839
47:46.9,-15.4245209,2.337748298,15.30997031,-18.44084023,0.64170878,-0.014871335,-0.019414085,0.021465453
47:46.9,-32.34759782,-0.079834119,17.32462232,-32.54340433,1.027732882,-0.035343136,-0.02405963,0.035070814
47:47.0,-11.79814727,-1.288625328,18.53341353,-30.12582191,1.251230285,-0.048694506,-0.025834726,0.043038019
47:47.0,-47.25602273,3.143609104,21.75685675,-52.28699407,1.453176719,-0.058836129,-0.028611668,0.050121449
47:47.0,-102.4574879,2.337748298,23.36857837,-68.40421019,1.637557338,-0.066194712,-0.032307,0.056474506
47:47.0,-95.60767108,1.128957089,28.6066736,-48.66062045,1.678424425,-0.065512209,-0.034537759,0.057743594
47:47.0,-102.8604183,-1.691555731,37.47114247,-68.40421019,1.601845668,-0.057424091,-0.036073453,0.054802576
47:47.0,-108.9043744,1.128957089,37.87407287,-86.93900872,1.541187077,-0.054183249,-0.035358092,0.052663233
47:47.0,-102.8604183,-1.691555731,37.47114247,-68.40421019,1.489868804,-0.055956831,-0.031997572,0.051124674
47:47.0,-102.8604183,-1.691555731,37.47114247,-68.40421019,1.398337455,-0.057083833,-0.02724634,0.048258119
47:47.0,-102.8604183,-1.691555731,37.47114247,-68.40421019,1.296379402,-0.06054594,-0.020607323,0.045197641
47:47.0,-102.8604183,-1.691555731,37.47114247,-68.40421019,1.067854053,-0.057615673,-0.01225001,0.037695538
47:47.0,-102.8604183,-1.691555731,37.47114247,-68.40421019,0.703580967,-0.047513698,-0.002242389,0.025410668
47:47.0,-119.3805649,-1.691555731,37.87407287,-96.20640799,0.283618069,-0.0369552,0.009959008,0.011313074
47:47.0,-141.9446674,-7.332581372,41.5004465,-115.5470673,-0.220264673,-0.023873949,0.024346628,-0.00562641
47:47.0,-149.6003451,-0.079834119,44.32095932,-148.18443,-0.635194855,-0.011641378,0.035303072,-0.019663275
47:47.0,-160.0765356,3.143609104,45.52975053,-175.180767,-0.937426187,-0.001275418,0.042395267,-0.029975093
47:47.0,-154.4355099,-1.691555731,47.54440254,-162.2869941,-1.230420765,0.010358335,0.048303784,-0.040066993
47:47.0,-143.1534586,-6.526720566,50.36491536,-142.9463347,-1.464051975,0.022150516,0.051480194,-0.04826536
47:47.0,-141.9446674,-6.929650969,47.54440254,-132.4701443,-1.721891,0.034602204,0.055328874,-0.05727941
47:47.0,-155.6443011,-2.90034694,43.51509851,-148.18443,-2.011904231,0.047965381,0.060049733,-0.067379669
47:47.0,-151.6149971,-4.512068552,41.9033769,-137.3053091,-2.247968183,0.060990881,0.062581567,-0.075730144
47:47.0,-157.2560227,-5.317929358,42.3063073,-113.9353457,-2.446917097,0.073783479,0.063607799,-0.082876799
47:47.0,-172.567378,-3.303277343,37.47114247,-118.3675802,-2.765484982,0.091588826,0.066885709,-0.094159421
47:47.0,-115.3512608,0.726026686,35.45649045,-119.5763714,-3.205594366,0.114667527,0.072341627,-0.109655302
47:47.0,-96.01060149,1.934817895,30.21839522,-119.9793018,-3.702577566,0.140558914,0.078606142,-0.127143464
47:47.0,-114.9483304,-1.691555731,20.95099595,-101.4445032,-4.295649891,0.1706358,0.086582521,-0.147963563
47:47.0,-81.50510698,-2.90034694,16.11583111,-68.40421019,-4.870788914,0.201563425,0.093243627,-0.168259889
47:47.0,-68.61133409,-3.303277343,15.30997031,-72.03058382,-5.420557847,0.233102689,0.098405204,-0.187779666
47:47.0,-44.03257951,-4.914998955,15.30997031,-69.6130014,-6.03424155,0.26808067,0.104305955,-0.209555064
47:47.0,-35.97397145,-8.541372581,11.68359668,-41.00494279,-6.686582571,0.305778961,0.110262951,-0.232733212
47:47.1,-47.65895313,-6.526720566,7.251362249,-30.12582191,-7.188578102,0.334223271,0.115192185,-0.250535483
47:47.1,-39.19741467,-7.735511775,4.833779832,0.093958308,-7.531091978,0.352553998,0.119212587,-0.262617333
47:47.1,-18.64796412,-10.15309419,3.22205822,16.21117443,-7.784813572,0.365901111,0.122332082,-0.2715532
47:47.1,11.16888569,-8.541372581,2.013267011,3.317401531,-7.897586758,0.370907733,0.124283581,-0.275469338
47:47.1,-22.27433775,-11.7648158,-1.210176212,6.137914352,-7.999493677,0.375157048,0.126214785,-0.278991615
47:47.1,-19.05089453,-12.57067661,-4.030689033,6.540844754,-8.093602266,0.378915691,0.128099192,-0.282234408
47:47.1,14.39232892,-11.7648158,-5.239480241,2.108610322,-8.067864525,0.375371598,0.129119187,-0.281196322
47:47.1,1.498556023,-12.57067661,-7.254132256,4.929123143,-7.946616412,0.365950115,0.129485411,-0.276743174
47:47.1,14.39232892,-11.7648158,-5.239480241,2.108610322,-7.83354052,0.35820464,0.129191733,-0.272652733
47:47.1,14.39232892,-11.7648158,-5.239480241,2.108610322,-7.721873933,0.351825454,0.128126905,-0.268689583
47:47.1,14.39232892,-11.7648158,-5.239480241,2.108610322,-7.575743078,0.344000574,0.126414207,-0.263534703
47:47.1,14.39232892,-11.7648158,-5.239480241,2.108610322,-7.417825156,0.336449987,0.124010847,-0.258018441
