,feature1,feature2,label,logreg,nn,rf,ensemble
65,385.5708884,-116.054391,-1,-1,-1,-1,-1
66,3758.080995,81.77615343,-1,-1,-1,-1,-1
67,397.6020606,-84.5974174,-1,-1,1,-1,-1
68,2191.803624,3.808697861,-1,-1,-1,-1,-1
69,471.020135,-80.92655238,-1,-1,-1,-1,-1
70,647.7742447,-72.25666237,-1,-1,-1,-1,-1
71,780.4682007,-66.15888531,-1,-1,-1,-1,-1
72,1556.798312,-28.88143087,-1,-1,-1,-1,-1
73,1652.806731,-23.80987141,-1,-1,-1,-1,-1
74,1079.749809,-51.41269857,-1,-1,-1,-1,-1
75,197.8817849,-94.47772287,-1,-1,1,-1,-1
76,1068.19942,-52.13468654,-1,-1,-1,-1,-1
77,4615.208068,122.5943974,-1,-1,-1,-1,-1
78,282.3810669,-91.89464101,-1,-1,-1,-1,-1
79,1099.651603,-52.37840603,-1,-1,-1,-1,-1
80,290.3096891,-90.48444894,-1,-1,-1,-1,-1
81,794.3724275,-66.37273752,-1,-1,-1,-1,-1
82,569.3440118,-56.50600523,-1,-1,-1,-1,-1
83,-411.2719318,389.9529304,-1,-1,-1,-1,-1
84,-415.4275356,304.6099707,-1,-1,-1,-1,-1
85,-422.789687,146.8537245,-1,-1,1,-1,-1
86,-428.7993076,19.59147133,-1,-1,1,-1,-1
87,-422.9687586,142.8114851,-1,-1,1,-1,-1
88,-426.1838543,75.53286057,-1,-1,1,-1,-1
89,-424.6397018,105.86761,-1,-1,1,-1,-1
90,-412.0651118,376.3197238,-1,-1,-1,-1,-1
91,-427.2404763,52.19634365,-1,-1,1,-1,-1
92,-411.5583114,384.8894958,-1,-1,-1,-1,-1
93,-420.499456,190.2718231,-1,-1,1,-1,-1
94,-428.0212093,36.68894383,-1,-1,1,-1,1
95,-425.6593487,83.87749248,-1,-1,1,-1,-1
96,-426.5343403,68.79256512,-1,-1,1,-1,-1
97,-419.3176543,219.9039256,-1,-1,1,-1,-1
98,-414.2353315,326.8645938,-1,-1,-1,-1,-1
99,-410.4076876,413.4098947,-1,-1,-1,-1,-1
100,-423.72615,125.4509118,-1,-1,1,-1,-1
101,-429.4027647,6.272729186,-1,-1,1,-1,1
102,-393.5792251,771.5380349,-1,-1,-1,-1,-1
103,-382.770668,1001.687312,-1,-1,-1,-1,-1
104,-409.6845536,428.9345403,-1,-1,-1,-1,-1
105,-424.0669286,119.1959112,-1,-1,1,-1,-1
106,-422.3620459,7.152327851,-1,-1,1,-1,-1
107,-427.6611626,-197.0301616,-1,-1,-1,-1,-1
108,-427.8185858,-193.8532516,-1,-1,-1,-1,-1
109,-433.3182467,-145.5602517,-1,-1,-1,-1,-1
110,-433.7414478,-141.9130266,-1,-1,-1,-1,-1
111,-430.7194708,-167.8383539,-1,-1,-1,-1,-1
112,-423.3182836,-234.7131559,-1,-1,1,-1,-1
113,-429.6159726,-179.2822041,-1,-1,-1,-1,-1
114,-430.6775487,-168.1497735,-1,-1,-1,-1,-1
115,-428.6281288,-187.8896122,-1,-1,-1,-1,-1
116,-429.2219545,-182.8954988,-1,-1,-1,-1,-1
117,-429.0471534,-183.2035176,-1,-1,-1,-1,-1
118,-431.9244627,-157.4129558,-1,-1,-1,-1,-1
119,-424.3831177,-225.432815,-1,-1,-1,-1,-1
120,-423.6526863,-233.1353887,-1,-1,-1,-1,-1
121,-431.627014,-160.1947414,-1,-1,-1,-1,-1
122,-431.4085242,-162.0417637,-1,-1,-1,-1,-1
123,-429.9818963,-175.518427,-1,-1,-1,-1,-1
124,-429.2571506,-181.4566894,-1,-1,-1,-1,-1
125,-429.9670065,-174.014421,-1,-1,-1,-1,-1
126,-431.0978662,-164.2803023,-1,-1,-1,-1,-1
127,-430.2881143,-173.3734634,-1,-1,-1,-1,-1
128,-421.575746,-252.4187779,-1,-1,1,-1,-1
129,-425.9996544,-207.1543923,-1,-1,-1,-1,-1
130,-412.5151841,-166.2330507,-1,-1,-1,-1,-1
131,-399.7660378,-137.8993867,-1,-1,-1,-1,-1
132,-401.1553964,-136.5859493,-1,-1,-1,-1,-1
133,-399.0171095,-137.1052881,-1,-1,-1,-1,-1
134,-328.4261088,-151.9126927,-1,-1,-1,-1,-1
135,-473.7040569,-336.3019957,-1,-1,-1,-1,-1
136,715.3692082,480.5039665,-1,-1,1,-1,-1
137,-309.0862582,-333.8398076,-1,-1,-1,-1,-1
138,679.0932786,18.00697087,-1,-1,-1,-1,-1
139,903.2417513,-300.625916,-1,-1,-1,-1,-1
140,-160.3614927,-616.2696183,-1,-1,-1,-1,-1
141,-279.5852591,-665.1033417,-1,-1,-1,-1,-1
142,-219.6245244,-376.09411,-1,-1,-1,-1,-1
143,-493.6839095,120.5167164,-1,-1,1,-1,-1
144,-416.2100094,-484.503664,-1,-1,-1,-1,-1
145,-476.4551301,331.2414878,-1,-1,-1,-1,-1
146,-148.9922037,5240.814684,-1,-1,1,-1,-1
147,-220.1022767,1259.343303,-1,-1,-1,-1,-1
148,-632.7458715,-727.4957256,-1,-1,-1,-1,-1
149,-298.1686957,519.7467159,-1,-1,-1,-1,-1
150,-261.498068,740.6445134,-1,-1,-1,-1,-1
151,-298.2924971,361.276065,-1,-1,-1,-1,-1
152,3.174194831,99.58692713,-1,-1,1,-1,-1
153,-224.2813352,-576.8002898,-1,-1,-1,-1,-1
154,-330.2962784,-624.2378044,-1,-1,-1,-1,-1
155,-104.0769221,-613.1317571,-1,-1,-1,-1,-1
156,-408.3777681,782.1366568,-1,-1,-1,-1,-1
157,-605.859579,-140.8080349,-1,-1,1,-1,1
158,-691.7415183,-640.8369051,-1,-1,-1,-1,-1
159,-552.7443714,-587.6245406,-1,-1,-1,-1,-1
160,-528.3508839,-310.6546875,-1,-1,1,-1,-1
161,-425.494751,-667.3655171,-1,-1,-1,-1,-1
162,-297.9869945,-586.7550865,-1,-1,-1,-1,-1
163,-136.2634756,639.7658297,-1,-1,-1,-1,-1
